Date;Price;
07/12/2022;20250;61
08/12/2022;20250;60
09/12/2022;20250;59
12/12/2022;20250;58
13/12/2022;20250;57
14/12/2022;20250;56
15/12/2022;20250;55
16/12/2022;20250;54
19/12/2022;20250;53
20/12/2022;20250;52
21/12/2022;20250;51
22/12/2022;20250;50
23/12/2022;20250;49
26/12/2022;20250;48
27/12/2022;20250;47
28/12/2022;20250;46
29/12/2022;20250;45
30/12/2022;20250;44
02/01/2023;20250;43
03/01/2023;20250;42
04/01/2023;20250;41
05/01/2023;20250;40
06/01/2023;20250;39
09/01/2023;20250;38
10/01/2023;20250;37
11/01/2023;20250;36
12/01/2023;20250;35
13/01/2023;20250;34
16/01/2023;20250;33
17/01/2023;20250;32
18/01/2023;20250;31
19/01/2023;20250;30
20/01/2023;20250;29
23/01/2023;20250;28
24/01/2023;20250;27
25/01/2023;20250;26
26/01/2023;20250;25
27/01/2023;20250;24
30/01/2023;20250;23
31/01/2023;20250;22
01/02/2023;20250;21
02/02/2023;20250;20
03/02/2023;20250;19
06/02/2023;20250;18
07/02/2023;20250;17
08/02/2023;20250;16
09/02/2023;20250;15
10/02/2023;20250;14
13/02/2023;20250;13
14/02/2023;20250;12
15/02/2023;20250;11
16/02/2023;20250;10
17/02/2023;20250;9
20/02/2023;20250;8
21/02/2023;20250;7
22/02/2023;20250;6
23/02/2023;20250;5
24/02/2023;20250;4
27/02/2023;20250;3
28/02/2023;20250;2
01/03/2023;20250;1
